기준년도,기준월,행정동_코드,행정동_코드_명,소득_총금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
2018,10,11440680,합정동,3338065,7,2334989000,394910667,95144667,57846000,256847667,15080667,34621000,103919000,157116333,154194333,1065308667
2018,10,11410710,북가좌1동,4165521,8,506751333,154817333,3066333,17989333,65084667,13421333,65506000,10589667,32062000,37844333,106370333
2018,10,11410585,신촌동,3495230,7,7090973000,874820000,211826667,24464333,1386005333,15518000,377261333,423264000,631763333,517197333,2628852667
2018,10,11380590,응암2동,3596367,7,374413333,100475000,4905333,14580667,37990000,58796000,46277667,11112333,10869333,9792667,79614333
2018,10,11350560,월계1동,2917705,6,1488643000,333415667,10750333,3894000,146554667,124207333,40396000,90700333,139727667,76879333,522117667
2018,10,11320700,방학2동,2179000,5,438837667,126953000,9850333,10662667,48975000,85823000,25922000,16252667,15675000,10032667,88691333
2018,10,11305575,삼각산동,3908021,8,738639333,264394000,10188667,3135333,85904000,480667,135885000,11314667,37597333,34805667,154934000
2018,10,11710641,문정1동,3758166,8,908485000,214853333,37692333,4541333,118671333,25647000,40862000,39725333,131432333,100649333,194410667
2018,10,11650510,서초1동,5039491,9,3048055333,404531667,156256000,88208667,535049667,101723333,466141000,71476000,309829667,139138000,775701333
2018,10,11650570,반포2동,6714867,9,403246667,115366667,2896667,7000,38126000,2356667,86183667,0,7356333,47993667,102960000
2018,10,11440655,서강동,4483821,8,1666550000,369009000,68486667,20117667,34822000,8466000,96101333,76267667,92443333,105032333,795804000
2018,10,11440555,아현동,5325158,9,85444955000,596101667,16645667,15255333,254840000,10756667,94798000,20578667,83906451000,119530333,409997667
2018,10,11410700,남가좌2동,3214631,7,814118333,171103333,18814000,13945667,97144333,20089667,57293667,50000333,79492333,57606333,248628667
2018,10,11410565,충현동,3312751,7,914356000,199191000,7935333,13988667,91956667,11968333,36224000,16845333,98480000,41620667,396146000
2018,10,11380690,진관동,4261653,8,2099596333,337466000,32185667,77328333,476972000,47380667,220220667,44385667,135538667,149642000,578476667
2018,10,11380580,응암1동,2839776,6,1455839000,237699000,28824667,44543000,398696000,3231000,187401333,47791000,81129667,113749333,312774000
2018,10,11380551,갈현1동,2570787,6,1713422333,316497333,46643667,3630667,157120333,2894333,61178000,232657667,126925000,62333333,703542000
